title,authors,numPages,publicationDate,publisher,price
No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border,Justin Akers Chacón/Mike  Davis,240,4/1/2006,Haymarket Books,93.06
Days Between Stations,Steve Erickson,256,2/9/2005,Simon & Schuster,68.29
The Bourne Identity (Jason Bourne  #1),Robert Ludlum,566,3/24/2005,Orion,74.73
Little Plum,Rumer Godden/Jean Primrose,144,8/1/1987,Puffin Books,44.03
Betsy's Wedding (Betsy-Tacy  #10),Maud Hart Lovelace/Vera Neville,260,3/31/1996,HarperTrophy,61.4
Betsy and the Great World (Betsy-Tacy  #9),Maud Hart Lovelace/Vera Neville,321,3/31/1996,HarperTrophy,11.07
Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3),Maud Hart Lovelace/Lois Lenski,192,4/5/2000,HarperCollins,61.8
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,325,12/31/2002,Minnesota Heritage Publishing,58.29
Early Candlelight,Maud Hart Lovelace/Rhoda R. Gilman,342,8/15/1992,Minnesota Historical Society Press,75.38
Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace/Vera Neville,336,3/31/1995,HarperTrophy,51.71
Betsy Was a Junior (Betsy-Tacy  #7),Maud Hart Lovelace/Vera Neville,320,3/31/1995,HarperTrophy,14.41
Betsy and Tacy Go Downtown (Betsy-Tacy  #4),Maud Hart Lovelace/Lois Lenski,180,1/1/1943,Thomas Y. Crowell Company,15.94
Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace/Vera Neville,304,12/31/2000,HarperTrophy,55.65
Betsy-Tacy (Betsy-Tacy  #1),Maud Hart Lovelace/Lois Lenski,144,8/14/2007,HarperCollins,19.52
Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,352,6/1/2006,Aladdin,43.47
Five Little Peppers at School,Margaret Sidney/Barbara Cooney,320,1/1/1988,Yearling,96.42
All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4),Sydney Taylor,160,4/1/2001,Taylor Productions Ltd,5.72
All-of-a-Kind Family (All-of-a-Kind-Family  #1),Sydney Taylor,188,8/23/2005,Delacorte Press,93.08
Winter Cottage,Carol Ryrie Brink,178,6/1/1974,Atheneum,61.41
Eddie's Valuable Property,Carolyn Haywood,192,3/1/1975,William Morrow & Company,45.58
Empire (Empire  #1),Orson Scott Card,352,11/28/2006,Tor Books,15.79
Treason,Orson Scott Card,288,1/24/2006,Orb Books,70.46
First Meetings in Ender's Universe (Ender's Saga  #0.5),Orson Scott Card,212,9/1/2004,Tor,97.91
Sarah (Women of Genesis  #1),Orson Scott Card,341,9/17/2001,Forge,50.22
Rachel & Leah (Women of Genesis  #3),Orson Scott Card,368,11/29/2005,Forge Books,75.96
How to Write Science Fiction and Fantasy,Orson Scott Card,140,7/15/1990,F & W Publications Inc.,35.97
Saints,Orson Scott Card,608,3/14/2001,Forge Books,62.55
Homebody,Orson Scott Card,430,1/25/1999,HarperTorch,63.05
Rebekah (Women of Genesis  #2),Orson Scott Card,416,3/27/2012,Forge,67.9
Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,382,8/15/1994,Tor Books,70.47
Red Prophet (Tales of Alvin Maker  #2),Orson Scott Card,311,7/15/1992,Tor Fantasy,68.37
The Call of Earth (Homecoming  #2),Orson Scott Card,352,1/15/1994,Tor Books,61.86
Shadow of the Hegemon (Shadow  #2),Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers,13,9/5/2006,Macmillan Audio,60.77
Enchantment,Orson Scott Card,422,5/31/2005,Del Rey,67.45
Voyage of Slaves (Flying Dutchman  #3),Brian Jacques/David Elliot,356,9/14/2006,Philomel Books,91.39
High Rhulain (Redwall  #18),Brian Jacques/David Elliot,341,9/22/2005,Philomel Books,55.97
Salamandastron (Redwall  #5),Brian Jacques/Gary Chalk,400,9/15/2003,Firebird,65.63
The Legend of Luke (Redwall  #12),Brian Jacques,374,6/2/2005,Firebird,93.07
Redwall (Redwall  #1),Brian Jacques,352,9/4/2006,Red Fox,95.38
Castaways of the Flying Dutchman (Flying Dutchman  #1),Brian Jacques/Ian Schoenherr,356,3/31/2003,Firebird,75.39
Outcast of Redwall (Redwall  #8),Brian Jacques,368,5/24/2004,Firebird,12.4
Triss (Redwall  #15),Brian Jacques/Allan Curless,389,9/9/2004,Firebird,40.5
A Redwall Winter's Tale,Brian Jacques/Christopher Denise,72,10/21/2004,Puffin,38.34
Mr. Impossible,Roger Hargreaves,32,8/24/1998,Price Stern Sloan,92.6
Mr. Christmas,Roger Hargreaves/Adam Hargreaves,40,9/14/2006,Price Stern Sloan,74.5
Mr. Bump,Roger Hargreaves,32,3/23/1998,Price Stern Sloan,17.08
Little Miss Birthday,Roger Hargreaves/Adam Hargreaves,32,1/11/2007,Price Stern Sloan,25.51
Little Miss Lucky,Roger Hargreaves,32,11/22/1999,Price Stern Sloan,87.36
Mr. Happy,Roger Hargreaves,36,4/30/2004,Egmont Children's Books,13.79
Mr. Jelly and the Pirates,Roger Hargreaves/Adam Hargreaves,32,5/10/2007,Price Stern Sloan,31.1
Grandma Baa (Easy Peasy People),Roger Hargreaves/Gray Jolliffe,32,10/14/1989,Random House for Young Readers,93.58
Bill Buzz,Roger Hargreaves/Gray Jolliffe,32,10/14/1989,Random House for Young Readers,14.99
Gary Grizzle,Roger Hargreaves/Gray Jolliffe,32,10/14/1989,Random House for Young Readers,69.37
Charlie Oink,Roger Hargreaves/Gray Jolliffe,32,10/14/1989,Random House  for Young Readers,72.42
Madame Je-Sais-Tout,Roger Hargreaves,36,5/31/1997,Hachette,65.3
The Poppy Seed Cakes,Margery Clark/Maud Petersham/Miska Petersham,158,10/1/1964,Doubleday Books,19.54
Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett/Ron Barrett,32,4/1/1982,Atheneum Books for Young Readers,3.4
The Wind Thief,Judi Barrett/Diane Dawson Hearn,32,1/1/1977,Atheneum Books,7.85
Animales No Se Visten  Los (Animals Should Definitely Not Wear Clothing) with CD,Judi Barrett/Ron Barrett,32,10/30/1991,Live Oak Media,22.56
Beauty,Robin McKinley,325,7/26/2005,HarperCollins,5.59
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,1008,9/16/2002,Puffin,67.99
Deerskin,Robin McKinley,384,5/1/2005,Ace Books,71.31
Sunshine,Robin McKinley,405,11/30/2004,Jove,98.06
Rose Daughter,Robin McKinley,304,12/1/1998,Ace,77.27
The Door in the Hedge,Robin McKinley,224,10/13/2003,Firebird,98.54
The Stone Fey,Robin McKinley/John Clapp,64,9/1/1998,HMH Books for Young Readers,39.31
Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,320,5/6/2003,Signet Book,8.86
Anne of Green Gables,L.M. Montgomery/Barbara Caruso,9,1/1/2005,Recorded Books  Inc.,81.06
The Road to Yesterday (Anne of Green Gables  #9),L.M. Montgomery,403,2/1/1993,Bantam Books,46.4
Anne of Avonlea,L.M. Montgomery/Clare Sieffert,315,11/1/1990,Grosset & Dunlap,81.36
The Stories of Vladimir Nabokov,Vladimir Nabokov,685,12/9/1996,Vintage,72.18
The Gift,Vladimir Nabokov/Michael Scammell/Dmitri Nabokov,406,4/5/2001,Penguin Books,74.73
Lectures on Literature,Vladimir Nabokov/Fredson Bowers/John Updike,385,12/16/2002,Mariner Books,78.7
Novels & Memoirs 1941–1951: The Real Life of Sebastian Knight / Bend Sinister / Speak  Memory,Vladimir Nabokov/Brian Boyd,734,10/1/1996,Library of America,84.7
The American Years,Brian Boyd,800,1/31/1993,Princeton University Press,76.18
Laughter in the Dark,Vladimir Nabokov,292,9/17/2006,New Directions,40.77
The Luzhin Defense,Vladimir Nabokov/Michael Scammell,256,8/11/1990,Vintage,65.27
A Woman of Substance (Emma Harte Saga #1),Barbara Taylor Bradford,928,12/1/2005,Griffin,56.12
The Ravenscar Dynasty (Ravenscar  #1),Barbara Taylor Bradford,484,12/26/2006,St. Martin's Press,44.4
Dark Birthright,Jeanne Treat/Jane Starr Weils,429,10/1/2006,Treat Enterprises,94.07
Birthright (Diablo: The Sin War  #1),Richard A. Knaak,326,10/1/2006,Pocket Star,92.8
Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,William   Anderson/Laura Ingalls Wilder,80,10/13/1998,HarperCollins,64.14
Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues (Writings to Young Women on Laura Ingalls Wilder #1),Laura Ingalls Wilder/Stephen W. Hines,113,5/10/2006,Tommy Nelson,43.16
Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman (Writings to Young Women from Laura Ingalls Wilder #2),Laura Ingalls Wilder/Stephen W. Hines,116,5/10/2006,Tommy Nelson,28.32
A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder,352,2/7/2006,HarperCollins,36.48
Laura Ingalls Wilder: A Biography,William   Anderson,256,1/2/2007,HarperCollins,29.45
West from Home: Letters of Laura Ingalls Wilder  San Francisco  1915  (Little House #11),Laura Ingalls Wilder/Roger Lea MacBride/Margot Patterson Doss,124,10/20/1976,Harper & Row,93.87
The Laura Ingalls Wilder Country Cookbook,Laura Ingalls Wilder/William   Anderson,160,10/1/1997,HarperCollins Publishers,79.9
Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3),Laura Ingalls Wilder/Stephen W. Hines,128,5/8/2006,Thomas Nelson,24.15
The Laughing Jesus: Religious Lies and Gnostic Wisdom,Tim Freke/Peter Gandy,276,6/27/2006,Harmony,47.85
The Erotic Phenomenon,Jean-Luc Marion/Stephen E. Lewis,248,11/15/2006,University of Chicago Press,81.08
The Phenomenon of Life: Toward a Philosophical Biology,Hans Jonas/Lawrence Vogel/Eleonore Jonas,304,2/28/2001,Northwestern University Press,39.29
Down to the Bonny Glen (Little House: The Martha Years  #3),Melissa Wiley/Renée Graef,321,5/8/2001,HarperTrophy,77.84
Laura: The Life of Laura Ingalls Wilder,Donald Zochert,241,5/1/1977,Avon,16.31
Winter Days in the Big Woods,Laura Ingalls Wilder/Renée Graef,32,9/15/1995,HarperCollins,61.16
The First Four Years (Little House  #9),Laura Ingalls Wilder/Cherry Jones,3,6/13/2006,HarperFestival,84.97
Winter on the Farm,Laura Ingalls Wilder/Renée Graef/Jody Wheeler,32,9/6/1997,Winter on the Farm (My First Little House),89.8
Summertime in the Big Woods,Laura Ingalls Wilder/Renée Graef,40,2/2/2000,HarperCollins,33.71
Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,Cynthia Rylant/Jim LaMarche,176,6/1/2004,Harper Trophy,52.95
Laura Ingalls Wilder's Fairy Poems,Laura Ingalls Wilder/Richard  Hull,39,10/13/1998,Doubleday Books for Young Readers,46.4
Constructing the Little House: Gender  Culture  and Laura Ingalls Wilder,Ann Romines,304,11/21/1997,University of Massachusetts Press,2.85
These Happy Golden Years (Little House  #8),Laura Ingalls Wilder/Cherry Jones/Paul Woodiel,7,3/28/2006,HarperFestival,20.66
Farmer Boy (Little House  #2),Laura Ingalls Wilder/Garth Williams,357,1/1/2007,HarperTrophy,81.6
Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,374,1/1/2007,HarperTrophy,70.54
Christmas Stories (Little House Chapter Books: Laura  #10),Laura Ingalls Wilder/Renée Graef/Heather Henson,80,10/6/1999,HarperCollins,51.17
My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier,64,3/21/1998,HarperCollins,83.62
Christmas in the Big Woods,Laura Ingalls Wilder/Renée Graef,32,9/20/1997,HarperCollins,1.28
The Long Winter (Little House  #6),Laura Ingalls Wilder/Garth Williams,422,1/1/2007,HarperTrophy,98.96
A Little House Birthday,Laura Ingalls Wilder/Doris Ettlinger,40,9/5/1998,HarperCollins,9.86
The Deer in the Wood,Laura Ingalls Wilder/Renée Graef,32,1/16/1999,HarperCollins,72.31
The First Four Years  (Little House  #9),Laura Ingalls Wilder/Garth Williams,126,1/2/2007,HarperTrophy,56.88
The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,Barbara M. Walker/Garth Williams,256,9/7/1989,HarperCollins,81.44
Little House on the Prairie (Little House  #3),Laura Ingalls Wilder/Garth Williams,309,1/1/2007,HarperTrophy,66.81
Let the Hurricane Roar,Rose Wilder Lane,118,10/1/1985,HarperTrophy,17.5
Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder/Garth Williams,198,1/1/2007,HarperTrophy,1.84
Flowers (Eyewitness Explorers),David Burnie,64,9/15/1997,Dorling Kindersley Children,56.78
Animal: The Definitive Visual Guide to the World's Wildlife,David Burnie/Don E. Wilson,624,9/19/2005,DK,51.01
The Making Of Disney's Animal Kingdom Theme Park,Melody Malmberg/Walt Disney Company,192,5/1/1998,Disney Enterprises,7.04
El Reino Animal,Sergio Ramírez,256,7/1/2006,Alfaguara,68.27
Tree (Eyewitness Books),David Burnie/Peter K. Chadwick,64,6/14/2000,DK Children,16.41
Insects & Spiders,David Burnie,64,5/24/1999,Time Life Medical,20.67
The Prophet of Yonwood,Jeanne DuPrau,289,4/1/2006,Random House Books for Young Readers,96.58
Muhammad: A Prophet for Our Time,Karen Armstrong,256,10/17/2006,Eminent Lives,15.27
Prophet,Frank E. Peretti,416,3/11/2004,Crossway Books,48.41
Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation (Pocket Guides to Practical Spirituality),Elizabeth Clare Prophet,100,9/21/2017,Summit University Press,68.01
Hailstones and Halibut Bones,Mary O'Neill/John Wallner,64,4/1/1990,Doubleday Books for Young Readers,71.82
The Second Sex,Simone de Beauvoir/H.M. Parshley/Margaret Crosland,848,3/18/1993,Everyman's Library,24.9
The Second Sex,Simone de Beauvoir/H.M. Parshley,880,8/7/1997,Vintage Classics,77.37
The Church and the Second Sex,Mary Daly,231,1/3/1986,Beacon Press,37.34
Thomas Jefferson (Oxford Portraits),R.B. Bernstein,253,9/15/2005,Oxford University Press  USA,72.85
The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,103,8/1/2006,Applewood Books,3.79
Who Was Thomas Jefferson?,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,103,7/28/2003,Penguin Workshop,17.78
The Man Who Listens to Horses,Monty Roberts/Lucy Grealy/Lawrence Scanlan,352,11/28/1998,Ballantine Books,13.79
Under Orders (Sid Halley  #4),Dick Francis,308,10/1/2006,Putnam Publishing Group,81.7
For Kicks,Dick Francis,292,2/3/2004,G.P. Putnam's Sons,17.21
Forfeit,Dick Francis,256,4/5/2005,G.P. Putnam's Sons,10.24
Dead Cert,Dick Francis,277,1/6/2004,G.P. Putnam's Sons,95.72
Rat Race,Dick Francis,304,7/5/2006,G.P. Putnam's Sons,96.75
Reflex,Dick Francis,304,10/4/2005,G.P. Putnam's Sons,56.21
Decider,Dick Francis,341,12/7/2004,G.P. Putnam's Sons,37.4
Slay Ride,Dick Francis,288,4/6/2004,G.P. Putnam's Sons,43.45
Bonecrack,Dick Francis,304,6/6/2006,G.P. Putnam's Sons,25.16
Nerve,Dick Francis,320,9/1/1998,Jove,7.44
Break In (Kit Fielding  #1),Dick Francis,320,1/4/2005,G.P. Putnam's Sons,93.67
Blood Sport,Dick Francis,288,11/2/2004,G.P. Putnam's Sons,70.13
Straight,Dick Francis,320,2/7/2006,G.P. Putnam's Sons,69.36
10 lb Penalty,Dick Francis,320,8/3/2004,G.P. Putnam's Sons,73.36
Trial Run,Dick Francis,272,9/7/2004,G.P. Putnam's Sons,64.99
Wild Horses,Dick Francis,352,5/4/2004,G.P. Putnam's Sons,2.89
Field of Thirteen,Dick Francis,304,3/2/2004,G.P. Putnam's Sons,57.47
Driving Force,Dick Francis,384,12/29/1993,Fawcett Books,45.3
Flying Finish,Dick Francis,276,8/1/1999,Jove,15.07
Bolt (Kit Fielding  #2),Dick Francis,288,5/3/2005,G.P. Putnam's Sons,4.24
Come to Grief (Sid Halley  #3),Dick Francis,384,12/6/2005,G.P. Putnam's Sons,30.5
Enquiry,Dick Francis,272,7/6/2004,G.P. Putnam's Sons,22.43
Odds Against (Sid Halley  #1),Dick Francis,288,2/1/2005,G.P. Putnam's Sons,89.98
Banker,Dick Francis,288,10/3/2000,Michael Joseph,37.82
Whip Hand (Sid Halley  #2),Dick Francis,304,6/7/2005,G.P. Putnam's Sons,16.68
A Jockey's Life: The Biography of Lester Piggott,Dick Francis,468,7/12/1987,Fawcett,73.7
The Dick Francis Treasury of Great Racing Stories,Dick Francis/John Welcome,221,3/22/1992,Fawcett,16.7
Come to Grief / Decider / Wild Horses,Dick Francis,707,11/10/1997,Putnam Adult,45.62
Odds Against,Dick Francis,277,4/1/2000,Jove,87.92
Eats  Shoots & Leaves: Why  Commas Really Do Make a Difference!,Lynne Truss/Bonnie Timmons,32,7/25/2006,G.P. Putnam's Sons Books for Young Readers,67.16
Talk to the Hand: The Utter Bloody Rudeness of Everyday Life,Lynne Truss,214,10/24/2005,Profile Books,85.1
The Spice and Herb Bible,Ian Hemphill/Kate Hemphill,606,9/14/2006,Robert Rose,4.26
Master and Commander (Aubrey/Maturin   #1),Patrick O'Brian,459,10/17/2003,W. W. Norton  Company,62.2
The Making of Master and Commander: The Far Side of the World,Tom McGregor,168,10/17/2003,W. W. Norton  Company,38.13
The Ionian Mission (Aubrey/Maturin  #8),Patrick O'Brian/Simon Vance,10,10/1/2005,Blackstone Audiobooks,95.74
Her Master and Commander (Just Ask Reeves  #1),Karen Hawkins,372,2/28/2006,Avon,55.34
Strange Sounds: Music  Technology & Culture,Timothy D. Taylor,278,10/14/2001,Routledge,80.83
Stanley Park,Timothy  Taylor,436,9/25/2003,Counterpoint LLC,71.64
Crow Lake,Mary Lawson,324,1/13/2003,Dial Press Trade Paperback,94.17
Xenocide (Ender's Saga  #3),Orson Scott Card/Piotr W. Cholewa,592,7/15/1996,Tor Books,97.92
The Life of Sir Arthur Conan Doyle,John Dickson Carr/Daniel Stashower,320,11/11/2003,Da Capo Press,71.59
The Lost World (TV Tie-in),Arthur Conan Doyle/Philip Gooden,224,9/3/2002,Penguin Books,82.75
Las aventuras de Sherlock Holmes,Arthur Conan Doyle/Javier Gomez Rea,192,4/1/2005,Edimat Libros,16.92
Wild Ducks Flying Backward,Tom Robbins,272,8/29/2006,Bantam,57.92
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins/Kenneth H. Blanchard/Jason Winters,448,12/22/1997,Free Press,31.76
Robbins and Cotran Review of Pathology,Edward C. Klatt/Vinay   Kumar,432,11/12/2004,Saunders,40.56
Fierce Invalids Home from Hot Climates,Tom Robbins,445,5/29/2001,Bantam,11.97
Jitterbug Perfume,Tom Robbins,342,4/9/2001,No Exit Press,88.38
Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3),Douglas Adams,224,4/26/2005,Del Rey,91.41
So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,167,3/8/2002,Picador USA,73.14
The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy  #2),Douglas Adams/Martin  Freeman,6,6/1/2006,Random House Audio Publishing Group,4.11
Starship Titanic,Terry Jones/Marie-Catherine Caillava,189,11/30/2001,J'ai Lu,28.34
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,180,3/8/2002,Picador USA,45.22
The Illustrated Hitchhiker's Guide To The Galaxy,Douglas Adams,96,10/11/1994,Harmony,14.9
Margaret Atwood: The Handmaid's Tale,Hélène Greven-Borde,108,11/1/1998,Klincksieck,73.07
Point to Point Navigation,Gore Vidal,277,11/7/2006,Doubleday Books,80.34
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,328,5/24/2006,Rodale Books,18.79
Palimpsest,Gore Vidal,448,9/1/1996,Penguin Books,99.04
Lincoln,Gore Vidal,672,2/15/2000,Vintage,80.79
Burr,Gore Vidal,430,2/15/2000,Vintage,54.03
Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,302,4/9/2002,Random House Trade,12.01
Comfort Me With Apples,Ruth Reichl,299,1/1/2001,Random house,63.32
The Last Temptation of Christ,Nikos Kazantzakis/Peter A. Bien,506,3/1/1998,Simon  Schuster,77.47
Her Last Temptation,Leslie Kelly,207,5/31/2005,Harlequin Temptation,16.62
The Last Temptation (Tony Hill & Carol Jordan  #3),Val McDermid,496,3/1/2005,St. Martin's Paperbacks,45.72
The Last Temptation,Nikos Kazantzakis/Peter A. Bien,589,11/10/1995,Faber  Faber,95.69
Desert Dawn,Waris Dirie/Jeanne D'Haem,240,6/1/2004,Virago UK,36.24
Desert Flower,Waris Dirie/Cathleen Miller,240,3/15/2011,William Morrow Paperbacks,19.91
Desert Children,Waris Dirie/Corinna Milborn/Sheelagh Alabaster,240,11/1/2005,Virago UK,43.56
L'Aube du désert,Waris Dirie/Jeanne d' Haem,288,11/1/2002,Albin Michel,29.41
The Beach,Joanna Strange,112,2/19/2001,Longman,76.36
The Weekenders: Travels in the Heart of Africa,W.F. Deedes/Sue Ryan/Alex Garland/Tony Hawks/Andrew O'Hagan/Irvine Welsh/Giles Foden/Victoria Glendinning,340,11/8/2001,Ebury Press,46.36
I Feel Bad About My Neck: And Other Thoughts on Being a Woman,Nora Ephron,137,8/1/2006,Knopf Publishing Group,85.83
Feel the Fear . . . and Do It Anyway,Susan  Jeffers,217,12/26/2006,Ballantine Books,26.04
Touch & Feel: Animals Boxed Set,Jennifer Quasha/Deni Brown/Dawn Sirett,36,2/15/2003,DK Publishing,51.75
Today I Feel Silly  Other Moods That Make My Day,Jamie Lee Curtis/Laura Cornell,40,7/31/2007,HarperCollins,92.88
My First Word Touch and Feel,Anne Millard,12,9/19/2001,DK Children,48.88
When I Feel Angry,Nancy Cote/Cornelia Maude Spelman,24,1/1/2000,Albert Whitman  Company,64.84
Violet's House: A Giant Touch-and-Feel Book (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,10,11/1/2003,Disney Press,17.01
The White Masai,Corinne Hofmann/Peter Millar,320,10/10/2006,Amistad,40.11
The Story of a Seagull and the Cat Who Taught Her to Fly,Luis Sepúlveda/Chris Sheban/Margaret Sayers Peden,128,8/1/2006,Scholastic Paperbacks,27.39
Ahora sabréis lo que es correr,Dave Eggers/María Victoria Alonso Blanco,400,3/31/2004,Mondadori,82.72
The Burgess Bird Book for Children,Thornton W. Burgess/Louis Agassiz Fuertes,260,4/23/2003,Dover Publications,13.17
The Burgess Animal Book for Children,Thornton W. Burgess/Louis Agassiz Fuertes,275,9/10/2004,Dover Publications,75.53
The Adventures of Jimmy Skunk,Thornton W. Burgess/Thea Kliros/Harrison Cady,96,5/20/1994,Dover Publications,68.25
The Wanting Seed,Anthony Burgess,288,12/17/1996,W. W. Norton  Company,61.04
A Clockwork Orange,Anthony Burgess/Blake Morrison,159,2/24/2000,Penguin Classics,15.76
A Clockwork Orange,Anthony Burgess,149,9/3/1998,Penguin Books,30.71
Clockwork Orange,Anthony Burgess,235,3/1/2000,Heyne,74.92
A Clockwork Orange (Stage Play),Anthony Burgess,51,3/10/2017,Methuen Drama,50.1
One Hand Clapping,Anthony Burgess,224,7/15/1999,Da Capo Press,34.42
The Doctor is Sick,Anthony Burgess,260,8/17/1997,W.W. Norton  Company,74.08
Earthly Powers,Anthony Burgess,649,5/6/2004,Vintage Classics,19.7
Past Mortem,Ben Elton,460,5/2/2005,Black Swan,81.14
This Other Eden,Ben Elton,400,7/1/2003,Black Swan,93.21
Saint-Exupéry,Stacy Schiff/Antoine de Saint-Exupéry,560,2/7/2006,Holt Paperbacks,91.25
Le Petit Prince,Antoine de Saint-Exupéry,123,2/1/2004,Gallimard Jeunesse,31.18
Macbeth,William Shakespeare,249,7/1/2013,Simon  Schuster,33.05
Macbeth,William Shakespeare/Alan Durband,224,4/1/1985,Barrons Educational Series,84.47
Death of a Scriptwriter (Hamish Macbeth  #14),M.C. Beaton,198,6/1/1999,Warner Books,99.68
Death of a Poison Pen (Hamish Macbeth  #19),M.C. Beaton,227,1/1/2005,Warner Books,29.53
Death of an Outsider (Hamish Macbeth  #3),M.C. Beaton,194,7/1/2005,Warner Books,77.02
Cliffs Notes on Shakespeare's Macbeth,Alex Went,112,5/30/2000,Cliffs Notes,63.55
Death of an Addict (Hamish Macbeth  #15),M.C. Beaton,214,3/1/2001,Warner Books,52.84
A Year in the Life of William Shakespeare: 1599,James Shapiro,333,6/13/2006,Harper Perennial,91.31
Who Was William Shakespeare?,Celeste Davidson Mannis/John   O'Brien,105,12/28/2006,Grosset & Dunlap,55.63
Planet of the Apes,Pierre Boulle/Xan Fielding,192,6/6/2000,Wings,47.3
Planet of the Apes: Colony,William T. Quick,288,3/25/2003,HarperEntertainment,72.34
Planet of the Apes  Volume 1: Old Gods,Ian Edginton,80,3/5/2002,Dark Horse Comics,3.8
Planet of the Apes: The Fall,William T. Quick,288,6/4/2002,HarperEntertainment,50.56
Return to the Planet of the Apes #2: Escape from Terror Lagoon,William Arrow,0,4/12/1976,Ballantine Books,42.69
Return to the Planet of the Apes:  Visions from Nowhere,William Arrow,183,6/1/1976,Ballantine Books,24.35
Planet of the Apes: The Human War,Ian Edginton,72,7/27/2001,Titan Books Ltd,86.61
Battle for the Planet of the Apes,David Gerrold/John William Corrington/Joyce Hooper Corrington,158,6/1/1973,Award Books,57.12
World War Z: An Oral History of the Zombie War,Max Brooks,342,9/12/2006,Crown,55.05
The War of the Worlds,H.G. Wells/Arthur C. Clarke,192,3/12/2002,Modern Library,84.96
The Second World War: A Complete History,Martin  Gilbert,928,6/1/2004,Holt McDougal,73.09
A Short History of World War II,James L. Stokesbury,416,1/1/1980,William Morrow Paperbacks,8.26
The Complete Science Fiction Treasury of H.G. Wells,H.G. Wells,0,6/24/1987,Random House Value Publishing,6.83
Best Science Fiction Stories of H. G. Wells,H.G. Wells,320,11/24/2011,Dover Publications,71.31
The Invisible Man,H.G. Wells,208,9/1/2004,Scholastic Paperbacks,59.57
The Hound of the Baskervilles,Arthur Conan Doyle/Anne Perry/Sidney Paget,256,7/1/2001,Signet,17.93
The Hound of the Baskervilles (Sherlock Holmes  #5),Arthur Conan Doyle/David Timson,5,3/30/2005,Naxos Audiobooks,73.2
The Hound of the Baskervilles,Arthur Conan Doyle/Pam Smy,272,8/22/2006,Candlewick Press,98.74
Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),Malvina G. Vogel/Arthur Conan Doyle,237,1/1/2005,Abdo Publishing Company,67.25
Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,320,11/14/2006,Hachette Books,97.36
Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver/Marion Deuchars/David Loftus/Chris Terry,336,11/3/2004,Hachette Books,99.44
The Lake of Souls (Cirque du Freak #10),Darren Shan,272,9/6/2006,Little  Brown Books for Young Readers,60.04
Freak the Mighty (Freak The Mighty  #1),Rodman Philbrick,169,6/1/2001,Scholastic Paperbacks,52.59
Word Freak: Heartbreak  Triumph  Genius  and Obsession in the World of Competitive Scrabble Players,Stefan Fatsis,372,7/30/2002,Penguin Books,21.83
Vampire Mountain (Cirque Du Freak  #4),Darren Shan,208,9/1/2003,Little  Brown Young Readers,72.98
Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),D.C. Talk/The Voice of the Martyrs,383,1/15/1999,Albury Publishing,35.45
